1,2025-12-24 17:18:03,INFO,MODBUS,Connected to Modbus server
2,2025-12-24 17:18:03,INFO,DOBOT,Connected to Dobot
3,2025-12-24 17:18:24,INFO,DOBOT,Dobot homing completed
4,2025-12-24 17:18:25,INFO,UART,Connected to STM32 via UART
5,2025-12-24 17:18:25,INFO,D435i,Connected to D435i
6,2025-12-24 17:18:25,INFO,SYSTEM,Coordinate transformation ready
7,2025-12-24 17:18:25,INFO,SYSTEM,STATE = WAIT_START
8,2025-12-24 17:18:26,INFO,UART,Receive(110)
9,2025-12-24 17:18:26,INFO,SYSTEM,STATE = START_PROCESS
10,2025-12-24 17:18:26,INFO,CONVEYOR,ON
11,2025-12-24 17:18:26,INFO,SYSTEM,STATE = DETECT_OBJECT
12,2025-12-24 17:18:30,INFO,D435i,Detected color : BLUE
13,2025-12-24 17:18:30,INFO,CONVEYOR,OFF
14,2025-12-24 17:18:30,INFO,UART,Send(011)
15,2025-12-24 17:18:30,INFO,SYSTEM,STATE = WAIT_CLASSIFY
16,2025-12-24 17:18:30,INFO,UART,Receive(101)
17,2025-12-24 17:18:30,INFO,SYSTEM,STATE = CLASSIFY_OBJECT
18,2025-12-24 17:18:30,INFO,DOBOT,Moving to home
19,2025-12-24 17:18:30,INFO,DOBOT,Moving to pick_way_pos
20,2025-12-24 17:18:32,INFO,DOBOT,Moving to pick_pos
21,2025-12-24 17:18:34,INFO,DOBOT,Suction
22,2025-12-24 17:18:35,INFO,DOBOT,Moving to pick_way_pos
23,2025-12-24 17:18:36,INFO,DOBOT,Moving to home
24,2025-12-24 17:18:38,INFO,DOBOT,Moving to sort_way_pos
25,2025-12-24 17:18:40,INFO,DOBOT,Moving to sort_pos
26,2025-12-24 17:18:41,INFO,DOBOT,Drop
27,2025-12-24 17:18:41,INFO,DOBOT,Moving to sort_way_pos
28,2025-12-24 17:18:42,INFO,DOBOT,Classification task completed
29,2025-12-24 17:18:42,INFO,SYSTEM,STATE = COMPLETE_TASK
30,2025-12-24 17:18:43,INFO,UART,Send(000)
31,2025-12-24 17:18:43,INFO,CONVEYOR,ON
32,2025-12-24 17:18:43,INFO,SYSTEM,STATE = DETECT_OBJECT
33,2025-12-24 17:18:46,INFO,D435i,Detected color : RED
34,2025-12-24 17:18:46,INFO,CONVEYOR,OFF
35,2025-12-24 17:18:46,INFO,UART,Send(001)
36,2025-12-24 17:18:46,INFO,SYSTEM,STATE = WAIT_CLASSIFY
37,2025-12-24 17:18:46,INFO,UART,Receive(101)
38,2025-12-24 17:18:46,INFO,SYSTEM,STATE = CLASSIFY_OBJECT
39,2025-12-24 17:18:46,INFO,DOBOT,Moving to home
40,2025-12-24 17:18:47,INFO,DOBOT,Moving to pick_way_pos
